cc;title;turl;label
11;Want to Learn a New Language? This App's for You!;http://cdn.taboolasyndication.com/libtrc/static/thumbnails/e83be5630c59f2a0d0e4d363fa664e7d.jpg!-#@1500x785;1
12;Heres the app you need to learn a new language -- try it now for free!;http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png;1
13;Heres the app you need to learn a new language -- try it now for free!;http://cdn.taboola.com/static/d8/d8487d0a-b7de-4e8c-a47e-8136b80e96fe.png!-#@634x438;1
14;Want to Learn a New Language? This App's for You!;http://cdn.taboola.com/libtrc/static/thumbnails/8c504a62b11b2532f0f7ea52b7a18d1b.jpg;1
15;This App Will Teach You Spanish in 3 Weeks & It's Free to Try!;http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png;1
16;This App Will Teach You Spanish in 3 Weeks & It's Free to Try!;http://cdn.taboola.com/static/02/02e6e18b-f6f2-4c2f-9a0a-b918cf6fb97a.png!-#@1017x683;1
17;Want to Learn a New Language? This App's for You!;http://cdn.taboola.com/static/23/237733ea-cfc1-4f64-bced-e28e5b31c801.png;1
18;La vctima de La Manada denuncia la publicacin de sus datos personales;http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAx11uV.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg!-#@600x315;2
19;Amref frica  Premio Princesa de Asturias de Cooperacin Internacional 2018;http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAwZZr2.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg!-#@600x315;2
20;Batalla total en Mxico;http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAx1S0v.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=418&y=194!-#@600x315;2
21;El Congreso da un primer paso para regular la eutanasia;http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAwZkiM.img?h=315&w=600&m=6&q=60&o=t&l=f&f=jpg&x=309&y=143!-#@600x315;2
22;Catalua y la investidura  ltimas noticias en directo;http://img-s-msn-com.akamaized.net/tenant/amp/entityid/AAx0K44.img?h=630&w=1200&m=6&q=60&o=t&l=f&f=jpg&x=609&y=270!-#@1200x630;2
23;Top Organization Tips from Business Owners;http://cdn.taboola.com/libtrc/static/thumbnails/0437042f06f9f070c4a183819fdb8d06.jpg!-#@600x400;3
24;Business Owners: Manage Your Work/Life Balance;http://cdn.taboola.com/libtrc/static/thumbnails/0d44d7f619d08746ad424aba69108119.jpg!-#@600x400;3
25;Stay Organized at Work and Home With These 3 Tips;http://cdn.taboola.com/libtrc/static/thumbnails/aa2acfc903703a9715dcb17ab73c94d8.jpg!-#@600x400;3
26;Top Organization Tips from Business Owners;http://cdn.taboola.com/libtrc/static/thumbnails/aa2acfc903703a9715dcb17ab73c94d8.jpg!-#@600x400;3
27;7 Tips for Perfecting Your Work/Life Balance;http://cdn.taboola.com/libtrc/static/thumbnails/0d44d7f619d08746ad424aba69108119.jpg!-#@600x400;3
28;Business Owners: Manage Your Work/Life Balance;http://cdn.taboola.com/libtrc/static/thumbnails/9df4e40be4ab7177d4a72ef97abf3a6c.jpg!-#@600x400;3
29;Stay Organized at Work and Home With These 3 Tips;http://cdn.taboola.com/libtrc/static/thumbnails/0437042f06f9f070c4a183819fdb8d06.jpg!-#@600x400;3
30;7 Tips for Perfecting Your Work/Life Balance;http://cdn.taboola.com/libtrc/static/thumbnails/9df4e40be4ab7177d4a72ef97abf3a6c.jpg!-#@600x400;3
31;Thrown into a Tar Pit and Left to Die  Two Puppies Minutes Away From Death....;https://console.brax-cdn.com/creatives/5b171414-d144-458f-afd6-c527e902ea40/tarpuppy-compare2_8ebe9236758f04691dcb8c0bd825c886.600x500.png!-#@600x500;4
32;Thrown into a Tar Pit and Left to Die  Two Puppies Minutes Away From Death....;https://console.brax-cdn.com/creatives/5b171414-d144-458f-afd6-c527e902ea40/tar-dog1_1c2f9fd10909e4ca7113ed444f07340a.600x500.png!-#@600x500;4
33;Two Puppies Left To Die After Being Thrown Into A Tar Pit...;https://console.brax-cdn.com/creatives/5b171414-d144-458f-afd6-c527e902ea40/tarpuppy-compare2_8ebe9236758f04691dcb8c0bd825c886.600x500.png!-#@600x500;4
34;Two Puppies Were Minutes Away From Death After Being Thrown into a Tar Pit and Left to Die;https://console.brax-cdn.com/creatives/5b171414-d144-458f-afd6-c527e902ea40/tar-dog1_1c2f9fd10909e4ca7113ed444f07340a.600x500.png!-#@600x500;4
35;Rescued Baby Moose Comes Back To The Man With A big Surprise;http://newsd.co/wp-content/uploads/2018/04/metro-co-uk-2-Moose.jpg!-#@720x540;5
36;Story Of Rescued Man And A Moose Will Melt Your Heart;http://newsd.co/wp-content/uploads/2018/04/lifebuzz-com-Moose.jpg!-#@720x480;5
37;Rescued Moose Returns To Show Her Love To The Man;http://newsd.co/wp-content/uploads/2018/04/metro-co-uk-1-Moose-1.jpg!-#@720x480;5
38;Rescued Baby Moose Comes Back To The Man With A Big Surprise;http://newsd.co/wp-content/uploads/2018/04/facebook-com-14-Moose.jpg!-#@720x540;5
39;Story Of Rescued Man And A Moose Will Melt Your Heart;http://cdn.icepop.com/wp-content/uploads/2018/02/metro-co-uk-Moose.jpg!-#@720x480;5
40;Man Rescues A Moose And She Returns With A Wonderful Surprise;http://newsd.co/wp-content/uploads/2018/04/metro-co-uk-1-Moose-1.jpg!-#@720x480;5
41;Man Rescued A Moose & Now She Visits Him Everyday;http://newsd.co/wp-content/uploads/2018/04/metro-co-uk-2-Moose.jpg!-#@720x540;5
42;There is a surprise for ambitious urban professionals! Know more.;http://cdn.taboola.com/libtrc/static/thumbnails/defc016bf054eb89bba84685a8582cc0.jpg!-#@600x499;6
43;Luxury lifestyle for ambitious urban professionals! Know more.;http://cdn.taboola.com/libtrc/static/thumbnails/defc016bf054eb89bba84685a8582cc0.jpg!-#@600x499;6
44;Do you know the address of high-end real estate shoppers in south Mumbai? Click here;http://cdn.taboola.com/libtrc/static/thumbnails/56fd2e6346f10f40749afc7b13f88768.jpg!-#@600x503;6
45;Do you know the address of high-end real estate shoppers in south Mumbai? Click here;http://cdn.taboola.com/libtrc/static/thumbnails/33a5cf955874c815490687a2af6b8405.jpg!-#@600x498;6
46;All-in-one Luxury Where Your Home Doubles As Your Playground;http://cdn.taboola.com/libtrc/static/thumbnails/defc016bf054eb89bba84685a8582cc0.jpg!-#@600x499;6
47;Luxury lifestyle for ambitious urban professionals! Know more.;http://cdn.taboola.com/libtrc/static/thumbnails/56fd2e6346f10f40749afc7b13f88768.jpg!-#@600x503;6
48;Do you know the address of high-end real estate shoppers in south Mumbai? Click here;http://cdn.taboola.com/libtrc/static/thumbnails/95415cb09009a4498133e6fda3bb7ee6.jpg!-#@600x499;6
49;Here is the lifestyle for those who follow work hard  play hard mantra;http://cdn.taboola.com/libtrc/static/thumbnails/33a5cf955874c815490687a2af6b8405.jpg!-#@600x498;6
50;Everything your family needs is within reach. Read more.;http://cdn.taboola.com/libtrc/static/thumbnails/33a5cf955874c815490687a2af6b8405.jpg!-#@600x498;6
51;Everything your family needs is within reach. Read more.;http://cdn.taboola.com/libtrc/static/thumbnails/defc016bf054eb89bba84685a8582cc0.jpg!-#@600x499;6
52;Top 25 Marvelous Pools in the World That Places To See In Your Lifetime;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/HTB1Loj_RpXXXXaAapXXq6xXFXXXM_1525778917.600x500.png!-#@600x500;7
53;25 Incredible Swimming Pools From All Around The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/HTB1Loj_RpXXXXaAapXXq6xXFXXXM_1525778917.600x500.png!-#@600x500;7
54;25 of the Most Amazing Swimming Pools In The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/HTB1Loj_RpXXXXaAapXXq6xXFXXXM_1525778917.600x500.png!-#@600x500;7
55;25 of the Most Amazing Swimming Pools In The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/inifinity_pool_1_george_lizardos_50_1525778918.600x500.png!-#@600x500;7
56;Top 25 Marvelous Pools in the World That Places To See In Your Lifetime;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/inifinity_pool_1_george_lizardos_50_1525778918.600x500.png!-#@600x500;7
57;25 Incredible Swimming Pools From All Around The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/inifinity_pool_1_george_lizardos_50_1525778918.600x500.png!-#@600x500;7
58;Top 25 Marvelous Pools in the World That Places To See In Your Lifetime;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/Floating-pool-at-GHT-traveller-19jun13-pr_b_1080x720-1024x682_1525778915.600x500.png!-#@600x500;7
59;25 of the Most Amazing Swimming Pools In The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/Floating-pool-at-GHT-traveller-19jun13-pr_b_1080x720-1024x682_1525778915.600x500.png!-#@600x500;7
60;25 Incredible Swimming Pools From All Around The World;https://console.brax-cdn.com/creatives/413616e9-2d20-42da-b174-109be505c845/Floating-pool-at-GHT-traveller-19jun13-pr_b_1080x720-1024x682_1525778915.600x500.png!-#@600x500;7
61;Mit dieser kostenlosen App bekmpfst du dein Migrne-Monster.;http://cdn.taboola.com/libtrc/static/thumbnails/4e5dbf1d2ba31ff4f756d601fc102e8f.png!-#@1500x1250;8
62;Stell dich deinem Migrne-Monster. Installier dir die M-sense App.;http://cdn.taboola.com/libtrc/static/thumbnails/4e5dbf1d2ba31ff4f756d601fc102e8f.png!-#@1500x1250;8
63;Weniger Migrne & Kopfschmerzen. Hol dir die M-sense App.;http://cdn.taboola.com/libtrc/static/thumbnails/009f86b0e6437864c9898830907d38e1.png!-#@1200x1000;8
64;Mit dieser App reduzierst du Migrne und Kopfschmerzen. Hol sie dir jetzt.;http://cdn.taboola.com/libtrc/static/thumbnails/16ccf4f9ad100fab025738b6a93e1568.jpg!-#@1000x600;8
65;Kopfschmerzen? Die Migrne-App M-sense hilft dir in 3 Schritten.;http://cdn.taboola.com/libtrc/static/thumbnails/661dde4250686ad893ca3f5bc4bbedcd.png!-#@1200x1000;8
66;Mit dieser App bekmpfst du Migrne & Kopfschmerzen.;http://cdn.taboola.com/libtrc/static/thumbnails/e0bf98d750807d9919e50cb3af3abe67.png!-#@1200x1000;8
67;Tu was gegen Migrne & Kopfschmerzen - installiere dir die M-sense App.;http://cdn.taboola.com/libtrc/static/thumbnails/520ea2641eeedb372b725a8b8ad79a78.png!-#@896x746;8
68;Kopfschmerzen? Die Migrne-App M-sense hilft dir in 3 Schritten.;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/638923830__hfFm2Lup.jpg!-#@637x549;8
69;Finde die Auslser von Migrne & Kopfschmerzen: Installier dir die M-sense App.;http://cdn.taboola.com/libtrc/static/thumbnails/009f86b0e6437864c9898830907d38e1.png;8
70;Mit dieser App reduzierst du Migrne und Kopfschmerzen.;http://cdn.taboola.com/libtrc/static/thumbnails/c9d615c919fb7bbed0d9de1d8ae5d7ae.jpg!-#@999x600;8
71;Tu was gegen Migrne & Kopfschmerzen - hol dir die kostenlose App M-sense.;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/638923830__0SaBypwq.jpg!-#@637x549;8
72;Kopfschmerzen? Die Migrne-App M-sense hilft dir in 3 Schritten.;http://cdn.taboola.com/libtrc/static/thumbnails/79238ecc7921f2aea3cd9329b9ef1e9f.jpg!-#@1000x600;8
73;Jetzt Migrne reduzieren. Hol dir die M-sense App.;http://cdn.taboola.com/libtrc/static/thumbnails/520ea2641eeedb372b725a8b8ad79a78.png!-#@896x746;8
74;Tu was gegen Migrne & Kopfschmerzen - mit der Medizin-App M-sense.;http://cdn.taboola.com/libtrc/static/thumbnails/16ccf4f9ad100fab025738b6a93e1568.jpg!-#@1000x600;8
75;Tu was gegen Migrne & Kopfschmerzen - hol dir die kostenlose App M-sense.;http://cdn.taboola.com/libtrc/static/thumbnails/661dde4250686ad893ca3f5bc4bbedcd.png!-#@1200x1000;8
76;Tu was gegen Migrne & Kopfschmerzen - hol dir die kostenlose App M-sense.;http://cdn.taboola.com/libtrc/static/thumbnails/520ea2641eeedb372b725a8b8ad79a78.png!-#@896x746;8
77;Weniger Migrne mit der Medizin-App M-sense. Hol sie dir jetzt.;http://cdn.taboola.com/libtrc/static/thumbnails/79238ecc7921f2aea3cd9329b9ef1e9f.jpg!-#@1000x600;8
78;Kopfschmerzen? Die Migrne-App M-sense hilft dir in 3 Schritten.;http://cdn.taboola.com/libtrc/static/thumbnails/c9d615c919fb7bbed0d9de1d8ae5d7ae.jpg!-#@999x600;8
79;Call The Firefighters: Hollywood's 20 Hottest Redheads Are Sizzling;https://console.brax-cdn.com/creatives/24829d40-344d-4cff-96fc-3ee3ed7cac2c/3_Christina-Hendricks_1525359061.600x500.png!-#@600x500;9
80;Be Careful  Hollywood's 20 Hottest Redheads Might Just Burn You;https://console.brax-cdn.com/creatives/24829d40-344d-4cff-96fc-3ee3ed7cac2c/07457ef8aa749e70f11b42a48b745c85_1525359072.600x500.png!-#@600x500;9
81;Call The Firefighters  Because Hollywood's 20 Hottest Redheads Are Pure Fire;https://console.brax-cdn.com/creatives/24829d40-344d-4cff-96fc-3ee3ed7cac2c/1391022291669_amy-adams-costume-design_1525359075.600x500.png!-#@600x500;9
82;Call The Firefighters  Because Hollywood's 20 Hottest Redheads Are Pure Fire;https://console.brax-cdn.com/creatives/24829d40-344d-4cff-96fc-3ee3ed7cac2c/Bella-Thorne_-Glamour-Mexico-2015-_Behind-The-Secenes_--20_1525359077.600x500.png!-#@600x500;9
83;Quiz: Can You Name '80s Sitcoms from an Image?;http://gleaned-images.stuff.com/signals-test/8e68e8b9c301209c3342828d9f6b9f0bbf5ff279b24e2f824f217516!-#@1200x800;10
84;Quiz: Do You Remember These '80s Sitcoms?;http://gleaned-images.stuff.com/signals-test/91e696ae4ecef9f647e76b984a22c05b6e53551999f567223b853c8b!-#@1200x800;10
85;Quiz: How Many '80s Sitcoms Can You Name?;http://gleaned-images.stuff.com/signals-test/e6c4af0cde6cbb99bb85c5609875b67065281c05fe872cdd4ce152da!-#@1200x800;10
86;Quiz: Can You Name These TV Programs of the '80s?;http://gleaned-images.stuff.com/signals-test/1055dc1e050117daaa0e3862a768421170e208e95eaa4d7798935a97!-#@1200x800;10
87;Quiz: Can You Name These TV Programs of the '80s?;http://gleaned-images.stuff.com/signals-test/e6c4af0cde6cbb99bb85c5609875b67065281c05fe872cdd4ce152da!-#@1200x800;10
88;Quiz: Can You Name These '80s Sitcoms?;http://gleaned-images.stuff.com/signals-test/8e68e8b9c301209c3342828d9f6b9f0bbf5ff279b24e2f824f217516!-#@1200x800;10
89;25 Stunning Muscle Cars From The Last 50 Years;https://console.brax-cdn.com/creatives/e8e06791-fae3-4f81-a55e-c8427cc63471/tumblr_n3brz0GpZP1qflydqo3_1280_92cb42f7b86b698101687a8cee41fe6c.600x500.png!-#@600x500;11
90;25 Stunning Muscle Cars From The Last 50 Years;https://console.brax-cdn.com/creatives/e8e06791-fae3-4f81-a55e-c8427cc63471/1970_ford_torino_cobra_sportsroof_chiolero_384198191697c76dae2ff7f5d264f020.600x500.png!-#@600x500;11
91;25 of the Most Powerful Muscle Cars Ever Made;https://console.brax-cdn.com/creatives/e8e06791-fae3-4f81-a55e-c8427cc63471/mercury-cougar-eliminator-4_96a9eeb79c73a35febb0c11b6e0e33bf.600x500.png!-#@600x500;11
92;People Who Were There That Morning Will Never Forget What They Saw;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/ridiculous-pictures-3-taboola.jpg!-#@600x500;12
93;Onlookers Didn't Know Whether To Laugh Or Cry At What Happened Here;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/ridiculous-pictures-2-taboola.jpg!-#@600x500;12
94;Onlookers Didn't Know Whether To Laugh Or Cry At What Happened Here;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/ridiculous-pictures-4-taboola.jpg!-#@600x500;12
95;Onlookers Didn't Know Whether To Laugh Or Cry At What Happened Here;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/ridiculous-pictures-1-taboola.gif!-#@600x500;12
96;People Who Were There That Morning Will Never Forget What They Saw;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/ridiculous-pictures-5-taboola.jpg!-#@600x500;12
97;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-7-taboola.jpg!-#@600x500;13
98;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-10-taboola.jpg!-#@600x500;13
99;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-10-taboola.jpg!-#@600x500;13
100;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-9-taboola.jpg!-#@600x500;13
101;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-8-taboola.jpg!-#@600x500;13
102;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-1-taboola.jpg!-#@600x500;13
103;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-8-taboola.jpg!-#@600x500;13
104;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-6-taboola.jpg!-#@600x500;13
105;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-9-taboola.jpg!-#@600x500;13
106;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-5-taboola.jpg!-#@600x500;13
107;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-1-taboola.jpg!-#@600x500;13
108;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-2-taboola.jpg!-#@600x500;13
109;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-3-taboola.jpg!-#@600x500;13
110;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-8-taboola.jpg!-#@600x500;13
111;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-6-taboola.jpg!-#@600x500;13
112;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-2-taboola.jpg!-#@600x500;13
113;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-5-taboola.jpg!-#@600x500;13
114;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-7-taboola.jpg!-#@600x500;13
115;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-4-taboola.jpg!-#@600x500;13
116;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-6-taboola.jpg!-#@600x500;13
117;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-4-taboola.jpg!-#@600x500;13
118;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-7-taboola.jpg!-#@600x500;13
119;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-5-taboola.jpg!-#@600x500;13
120;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-4-taboola.jpg!-#@600x500;13
121;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-3-taboola.jpg!-#@600x500;13
122;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-9-taboola.jpg!-#@600x500;13
123;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-2-taboola.jpg!-#@600x500;13
124;20 Times Farmers Found Their Chickens Hiding An Unexpected Surprise;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-1-taboola.jpg!-#@600x500;13
125;20 Mother Hens Who Adopted Other Animal Babies As Their Own;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-3-taboola.jpg!-#@600x500;13
126;Farmer Comes Out To Check On The Chickens Only To Discover What They've Been Hiding;http://s3.amazonaws.com/boredom-therapy-image-bucket/img2/mother-hens-adopt-other-animals-hc-10-taboola.jpg!-#@600x500;13
127;A New Life Insurance Policy Is Sweeping The Uk;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/WST/763163435__rVX0ZIKT.jpg!-#@724x483;14
128;People Born Between 1953 & 1979 With No Life Insurance Must Read This;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/486425808__wTLgFOqu.jpg!-#@724x483;14
129;People Born Between 1953 & 1979 With No Life Insurance Must Read This;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/689602984__rfsk5O84.jpg!-#@683x512;14
130;A New Life Insurance Policy Is Sweeping The Uk;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/HRO/697540019__mZw75V8P.jpg!-#@724x483;14
131;People Born Between 1953 & 1979 With No Life Insurance Must Read This;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/628517054__MaW1Ctzw.jpg!-#@724x483;14
132;Uk Residents Discover New Life Insurance Trick;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/671951766__kyrAHAha.jpg!-#@724x483;14
133;A New Life Insurance Policy Is Sweeping The Uk;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/537302536__WPwGM3y2.jpg!-#@724x483;14
134;People Born Between 1953 & 1979 With No Life Insurance Must Read This;http://cdn.taboola.com/libtrc/static/thumbnails/GETTY_IMAGES/SKP/688526532__jh1pCdxr.jpg!-#@715x489;14
135;Massive Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/IE_-_ben_t_4239ec248c49740ca919e2eff68cc22e.600x500.png!-#@600x500;15
136;${city:capitalized}$ - Massive Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/new_red_head_2c7a8459d59fc587e4b31396a77ceeff.600x500.png!-#@600x500;15
137;${city:capitalized}$ - Massive Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/B_W_44a8eb3a1e6b697157d9e3724ccff1e8.600x500.png!-#@600x500;15
138;Huge Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/B_W_44a8eb3a1e6b697157d9e3724ccff1e8.600x500.png!-#@600x500;15
139;${city:capitalized}$ - Massive Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/Red_Head_1_03cc85816c58e2e87d1ceccbc26b91a4.600x500.png!-#@600x500;15
140;Massive Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/Red_Head_1_03cc85816c58e2e87d1ceccbc26b91a4.600x500.png!-#@600x500;15
141;Huge Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/IE_ginger_stock_92856aaba325d85744c399164293f417.600x500.png!-#@600x500;15
142;Huge Pay Outs For Irish Born Before 1981;https://console.brax-cdn.com/creatives/44dd7285-cd6a-4a0f-9085-8137587509a3/Red_Head_1_03cc85816c58e2e87d1ceccbc26b91a4.600x500.png!-#@600x500;15
